City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
2,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Sao Filipe,CV,73.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
8,Dakar,SN,85.08,scattered clouds,14.6937,-17.4441,Novotel Dakar
9,Marsa Matruh,EG,76.17,clear sky,31.3525,27.2453,Beau Site
10,Ternate,ID,77.13,light rain,0.8,127.4,Sahid Bela Ternate Hotel
11,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
13,Trincomalee,LK,81.18,few clouds,8.5711,81.2335,Welcombe Hotel
14,Lorengau,PG,78.78,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Touros,BR,81.21,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Formosa Do Rio Preto,BR,87.96,clear sky,-11.0483,-45.1931,Porto Center Hotel
23,Coahuayana,MX,92.07,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
24,Albany,US,75.88,overcast clouds,42.6001,-73.9662,
27,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
28,Faanui,PF,80.94,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Salinopolis,BR,80.89,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
32,Dom Pedro,BR,88.16,scattered clouds,-4.4833,-44.45,Pousada Santa Amália
36,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
37,Nicoya,CR,86.25,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
39,Meulaboh,ID,75.76,overcast clouds,4.1363,96.1285,Kost Pria
40,Pau Brasil,BR,81.41,broken clouds,-15.4642,-39.6511,Tina Hotel
41,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
45,Bengkulu,ID,74.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Rikitea,PF,76.08,clear sky,-23.1203,-134.9692,People ThankYou
