City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amarante Do Maranhao,BR,2022-05-27 19:20:15,-5.5667,-46.7422,84.69,57,74,5.21
1,Qaanaaq,GL,2022-05-27 19:14:46,77.484,-69.3632,23.67,87,100,13.73
2,Taltal,CL,2022-05-27 19:16:17,-25.4,-70.4833,65.25,66,35,6.31
3,Tuy Hoa,VN,2022-05-27 19:20:15,13.0833,109.3,78.89,75,100,10.78
4,Los Alamos,US,2022-05-27 19:20:16,35.8881,-106.307,86.68,9,0,13.8
5,Thompson,CA,2022-05-27 19:11:48,55.7435,-97.8558,55.98,36,6,5.32
6,Longyearbyen,SJ,2022-05-27 19:20:16,78.2186,15.6401,44.44,76,0,8.05
7,Albany,US,2022-05-27 19:17:24,42.6001,-73.9662,77.23,74,100,10.4
8,Gat,IL,2022-05-27 19:20:17,31.61,34.7642,82.4,100,1,5.66
9,Kununurra,AU,2022-05-27 19:20:17,-15.7667,128.7333,58.98,88,99,0.0
10,Mahebourg,MU,2022-05-27 19:20:17,-20.4081,57.7,70.25,88,20,3.44
11,Rikitea,PF,2022-05-27 19:14:48,-23.1203,-134.9692,76.6,75,17,12.88
12,Busselton,AU,2022-05-27 19:14:55,-33.65,115.3333,54.99,74,81,6.69
13,Carnarvon,AU,2022-05-27 19:16:00,-24.8667,113.6333,71.58,63,100,5.82
14,Beyneu,KZ,2022-05-27 19:20:18,45.3167,55.2,69.21,33,2,8.14
15,Ushuaia,AR,2022-05-27 19:14:48,-54.8,-68.3,37.02,93,75,29.93
16,Tromso,NO,2022-05-27 19:18:25,69.6496,18.957,46.38,81,40,11.5
17,Talcahuano,CL,2022-05-27 19:20:18,-36.7167,-73.1167,49.68,62,0,10.36
18,Kapaa,US,2022-05-27 19:14:50,22.0752,-159.319,76.98,82,100,11.5
19,Bambous Virieux,MU,2022-05-27 19:14:52,-20.3428,57.7575,70.21,88,20,3.44
20,Kirakira,SB,2022-05-27 19:20:19,-10.4544,161.9205,76.89,84,98,1.16
21,Faanui,PF,2022-05-27 19:14:56,-16.4833,-151.75,81.25,64,0,18.45
22,Tahoua,NE,2022-05-27 19:20:19,14.8888,5.2692,96.71,17,19,4.92
23,Nome,US,2022-05-27 19:20:19,64.5011,-165.4064,41.16,87,100,11.5
24,Vardo,NO,2022-05-27 19:20:20,70.3705,31.1107,39.18,93,100,25.32
25,Tiksi,RU,2022-05-27 19:14:47,71.6872,128.8694,28.78,91,100,6.53
26,Ossora,RU,2022-05-27 19:20:20,59.2353,163.0719,37.9,98,100,4.74
27,Atuona,PF,2022-05-27 19:18:30,-9.8,-139.0333,77.74,80,33,24.09
28,Punta Arenas,CL,2022-05-27 19:14:47,-53.15,-70.9167,42.91,75,40,26.46
29,Sitka,US,2022-05-27 19:17:55,57.0531,-135.33,60.69,51,0,3.44
30,Warri,NG,2022-05-27 19:20:21,5.5167,5.75,77.13,88,100,3.53
31,Cidreira,BR,2022-05-27 19:20:21,-30.1811,-50.2056,63.93,92,100,12.5
32,Correntina,BR,2022-05-27 19:20:21,-13.3433,-44.6367,84.9,21,82,6.96
33,Jamestown,US,2022-05-27 19:14:53,42.097,-79.2353,72.01,76,100,8.05
34,Zhigansk,RU,2022-05-27 19:20:22,66.7697,123.3711,30.52,81,26,11.9
35,Broome,US,2022-05-27 19:14:48,42.2506,-75.833,73.0,84,100,9.22
36,Altay,CN,2022-05-27 19:20:22,47.8667,88.1167,64.24,62,0,5.73
37,Alekseyevsk,RU,2022-05-27 19:20:23,57.8406,108.3492,34.47,81,55,4.83
38,Dibulla,CO,2022-05-27 19:20:23,11.2725,-73.3091,87.42,68,100,4.36
39,Hare Bay,CA,2022-05-27 19:20:23,48.8499,-54.0148,56.55,53,100,11.65
40,Cape Town,ZA,2022-05-27 19:12:38,-33.9258,18.4232,60.28,87,4,4.0
41,Bluff,NZ,2022-05-27 19:14:47,-46.6,168.3333,37.8,86,97,11.45
42,Bredasdorp,ZA,2022-05-27 19:20:24,-34.5322,20.0403,55.74,96,37,2.93
43,Hobart,AU,2022-05-27 19:15:03,-42.8794,147.3294,42.66,90,100,3.44
44,Vaini,TO,2022-05-27 19:18:31,-21.2,-175.2,75.36,94,75,4.61
45,Mackenzie,CA,2022-05-27 19:20:25,55.2999,-123.1698,48.42,81,100,2.3
